辟	bi	181	rime_pinyin_simp
毙	bi	199	rime_pinyin_simp
璧	bi	213	rime_pinyin_simp
畀	bi	213	rime_pinyin_simp
屄	bi	292	rime_pinyin_simp
弊	bi	452	rime_pinyin_simp
臂	bi	656	rime_pinyin_simp
彼	bi	848	rime_pinyin_simp
闭	bi	855	rime_pinyin_simp
鼻	bi	880	rime_pinyin_simp
避	bi	1030	rime_pinyin_simp
壁	bi	1042	rime_pinyin_simp
毕	bi	1113	rime_pinyin_simp
碧	bi	1204	rime_pinyin_simp
俾	bi	1618	rime_pinyin_simp
币	bi	2377	rime_pinyin_simp
逼	bi	3238	rime_pinyin_simp
笔	bi	3250	rime_pinyin_simp
必	bi	3879	rime_pinyin_simp
比	bi	68655	rime_pinyin_simp
鴘	bian	1	rime_pinyin_simp
稨	bian	1	rime_pinyin_simp
汳	bian	1	rime_pinyin_simp
峅	bian	1	rime_pinyin_simp
甂	bian	2	rime_pinyin_simp
惼	bian	2	rime_pinyin_simp
豍	bian	2	rime_pinyin_simp
艑	bian	2	rime_pinyin_simp
揙	bian	2	rime_pinyin_simp
萹	bian	2	rime_pinyin_simp
辧	bian	2	rime_pinyin_simp
髟	bian	3	rime_pinyin_simp
辮	bian	3	rime_pinyin_simp
籩	bian	3	rime_pinyin_simp
窆	bian	3	rime_pinyin_simp
缏	bian	3	rime_pinyin_simp
碥	bian	3	rime_pinyin_simp
箯	bian	4	rime_pinyin_simp
抃	bian	4	rime_pinyin_simp
貶	bian	5	rime_pinyin_simp
鳊	bian	5	rime_pinyin_simp
邉	bian	6	rime_pinyin_simp
蝙	bian	6	rime_pinyin_simp
辯	bian	7	rime_pinyin_simp
忭	bian	8	rime_pinyin_simp
笾	bian	9	rime_pinyin_simp
褊	bian	12	rime_pinyin_simp
釆	bian	15	rime_pinyin_simp
変	bian	21	rime_pinyin_simp
砭	bian	28	rime_pinyin_simp
編	bian	30	rime_pinyin_simp
汴	bian	46	rime_pinyin_simp
邊	bian	49	rime_pinyin_simp
苄	bian	50	rime_pinyin_simp
變	bian	50	rime_pinyin_simp
弁	bian	55	rime_pinyin_simp
煸	bian	57	rime_pinyin_simp
匾	bian	112	rime_pinyin_simp
辫	bian	130	rime_pinyin_simp
卞	bian	250	rime_pinyin_simp
贬	bian	293	rime_pinyin_simp
辨	bian	507	rime_pinyin_simp
鞭	bian	531	rime_pinyin_simp
辩	bian	588	rime_pinyin_simp
扁	bian	1724	rime_pinyin_simp
编	bian	2920	rime_pinyin_simp
遍	bian	3214	rime_pinyin_simp
变	bian	13219	rime_pinyin_simp
边	bian	14353	rime_pinyin_simp
便	bian	16096	rime_pinyin_simp
鰾	biao	1	rime_pinyin_simp
飇	biao	1	rime_pinyin_simp
臕	biao	1	rime_pinyin_simp
瀌	biao	2	rime_pinyin_simp
髟	biao	2	rime_pinyin_simp
墂	biao	2	rime_pinyin_simp
爂	biao	2	rime_pinyin_simp
贆	biao	2	rime_pinyin_simp
檦	biao	2	rime_pinyin_simp
滮	biao	2	rime_pinyin_simp
猋	biao	2	rime_pinyin_simp
瘭	biao	2	rime_pinyin_simp
鏢	biao	2	rime_pinyin_simp
熛	biao	2	rime_pinyin_simp
鑣	biao	3	rime_pinyin_simp
驃	biao	3	rime_pinyin_simp
褾	biao	3	rime_pinyin_simp
藨	biao	3	rime_pinyin_simp
諘	biao	3	rime_pinyin_simp
儦	biao	3	rime_pinyin_simp
飆	biao	7	rime_pinyin_simp
鳔	biao	9	rime_pinyin_simp
錶	biao	9	rime_pinyin_simp
俵	biao	9	rime_pinyin_simp
摽	biao	9	rime_pinyin_simp
飑	biao	14	rime_pinyin_simp
標	biao	15	rime_pinyin_simp
灬	biao	18	rime_pinyin_simp
杓	biao	19	rime_pinyin_simp
镳	biao	29	rime_pinyin_simp
骠	biao	39	rime_pinyin_simp
婊	biao	41	rime_pinyin_simp
裱	biao	76	rime_pinyin_simp
膘	biao	111	rime_pinyin_simp
镖	biao	209	rime_pinyin_simp
飚	biao	262	rime_pinyin_simp
飙	biao	444	rime_pinyin_simp
彪	biao	787	rime_pinyin_simp
标	biao	3069	rime_pinyin_simp
表	biao	18142	rime_pinyin_simp
蛂	bie	1	rime_pinyin_simp
徶	bie	1	rime_pinyin_simp
襒	bie	2	rime_pinyin_simp
虌	bie	2	rime_pinyin_simp
鼈	bie	2	rime_pinyin_simp
癟	bie	2	rime_pinyin_simp
柲	bie	2	rime_pinyin_simp
蟞	bie	2	rime_pinyin_simp
咇	bie	2	rime_pinyin_simp
鱉	bie	2	rime_pinyin_simp
彆	bie	2	rime_pinyin_simp
蹩	bie	41	rime_pinyin_simp
別	bie	78	rime_pinyin_simp
瘪	bie	166	rime_pinyin_simp
鳖	bie	256	rime_pinyin_simp
憋	bie	1262	rime_pinyin_simp
别	bie	48131	rime_pinyin_simp
鑌	bin	1	rime_pinyin_simp
霦	bin	1	rime_pinyin_simp
髕	bin	1	rime_pinyin_simp
椕	bin	2	rime_pinyin_simp
虨	bin	2	rime_pinyin_simp
臏	bin	2	rime_pinyin_simp
濵	bin	2	rime_pinyin_simp
擯	bin	2	rime_pinyin_simp
蠙	bin	2	rime_pinyin_simp
瀕	bin	2	rime_pinyin_simp
繽	bin	3	rime_pinyin_simp
鬢	bin	5	rime_pinyin_simp
濱	bin	5	rime_pinyin_simp
邠	bin	7	rime_pinyin_simp
儐	bin	8	rime_pinyin_simp
傧	bin	9	rime_pinyin_simp
賓	bin	9	rime_pinyin_simp
髌	bin	14	rime_pinyin_simp
豳	bin	15	rime_pinyin_simp
膑	bin	16	rime_pinyin_simp
玢	bin	16	rime_pinyin_simp
摈	bin	19	rime_pinyin_simp
殯	bin	22	rime_pinyin_simp
槟	bin	26	rime_pinyin_simp
缤	bin	26	rime_pinyin_simp
殡	bin	36	rime_pinyin_simp
濒	bin	48	rime_pinyin_simp
镔	bin	62	rime_pinyin_simp
鬓	bin	181	rime_pinyin_simp
滨	bin	644	rime_pinyin_simp
宾	bin	814	rime_pinyin_simp
彬	bin	968	rime_pinyin_simp
斌	bin	1547	rime_pinyin_simp
栟	bing	1	rime_pinyin_simp
鋲	bing	1	rime_pinyin_simp
蛃	bing	1	rime_pinyin_simp
鞆	bing	2	rime_pinyin_simp
庰	bing	2	rime_pinyin_simp
怲	bing	2	rime_pinyin_simp
窉	bing	2	rime_pinyin_simp
陃	bing	2	rime_pinyin_simp
誁	bing	2	rime_pinyin_simp
苪	bing	2	rime_pinyin_simp
檳	bing	2	rime_pinyin_simp
梹	bing	2	rime_pinyin_simp
