---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(±,±)	ofux
$ddcmd(＝,＝)	ofux
$ddcmd(＜,＜)	ofux
$ddcmd(＞,＞)	ofux
$ddcmd(∈,∈)	ofux
$ddcmd(∏,∏)	ofux
$ddcmd(∑,∑)	ofux
$ddcmd(∕,∕)	ofux
$ddcmd(√,√)	ofux
$ddcmd(∝,∝)	ofux
$ddcmd(∞,∞)	ofux
$ddcmd(∟,∟)	ofux
$ddcmd(∠,∠)	ofux
$ddcmd(∣,∣)	ofux
$ddcmd(∥,∥)	ofux
$ddcmd(¬,¬)	ofux
$ddcmd(∧,∧)	ofux
$ddcmd(∨,∨)	ofux
$ddcmd(∩,∩)	ofux
$ddcmd(∪,∪)	ofux
$ddcmd(∫,∫)	ofux
$ddcmd(∮,∮)	ofux
$ddcmd(∴,∴)	ofux
$ddcmd(∵,∵)	ofux
$ddcmd(∶,∶)	ofux
$ddcmd(∷,∷)	ofux
$ddcmd(∽,∽)	ofux
$ddcmd(≈,≈)	ofux
$ddcmd(≌,≌)	ofux
$ddcmd(≒,≒)	ofux
$ddcmd(≠,≠)	ofux
$ddcmd(≡,≡)	ofux
$ddcmd(≤,≤)	ofux
$ddcmd(≥,≥)	ofux
$ddcmd(≦,≦)	ofux
$ddcmd(≧,≧)	ofux
$ddcmd(≮,≮)	ofux
$ddcmd(≯,≯)	ofux
$ddcmd(⊕,⊕)	ofux
$ddcmd(⊙,⊙)	ofux
$ddcmd(⊥,⊥)	ofux
$ddcmd(⊿,⊿)	ofux
$ddcmd(㈠,㈠)	ofvu
$ddcmd(㈡,㈡)	ofvu
$ddcmd(㈢,㈢)	ofvu
$ddcmd(㈣,㈣)	ofvu
$ddcmd(㈤,㈤)	ofvu
$ddcmd(㈥,㈥)	ofvu
$ddcmd(㈦,㈦)	ofvu
$ddcmd(㈧,㈧)	ofvu
$ddcmd(㈨,㈨)	ofvu
$ddcmd(㈩,㈩)	ofvu
$ddcmd(ㄅ,ㄅ)	ofvy
$ddcmd(ㄆ,ㄆ)	ofvy
$ddcmd(ㄇ,ㄇ)	ofvy
$ddcmd(ㄈ,ㄈ)	ofvy
